"Rank","Name","Symbol","employees_count","price (INR)","country"
"88","Torrent Pharmaceuticals","TORNTPHARM.NS","15718","3497.05","India"
"89","Aurobindo Pharma","AUROPHARMA.NS","15431","1495.85","India"
"90","Glenmark Pharmaceuticals","GLENMARK.NS","15415","1790.65","India"
"91","Biocon","BIOCON.NS","15000","346.15","India"
"92","Max Healthcare Institute","MAXHEALTH.NS","15000","939.8","India"
"93","Trident","TRIDENT.NS","14998","35.3","India"
"94","IIFL Finance","IIFL.NS","14937","469.55","India"
"95","Alembic Pharmaceuticals","APLLTD.NS","14858","1171.7","India"
"96","Alok Industries","ALOKINDS.NS","14803","25.25","India"
"97","Power Mech Projects","POWERMECH.NS","14044","3108.4","India"
"98","New India Assurance","NIACL.NS","13926","209.68","India"
"99","Varroc","VARROC.NS","13800","575.7","India"
"100","ICICI Lombard","ICICIGI.NS","13670","2067.35","India"
"101","JSW Steel","JSWSTEEL.NS","13301","1012.05","India"
"102","UPL","UPL.NS","13054","583.05","India"
"103","Fortis Healthcare","FORTIS.NS","13010","600.3","India"
"104","Godrej","GODREJCP.NS","13000","1315.7","India"
"105","Bank of Maharashtra","MAHABANK.NS","12977","54.24","India"
"106","Cyient","CYIENT.NS","12733","1851.2","India"
"107","Federal Bank","FEDERALBNK.NS","12641","187.55","India"
"108","Blue Dart Express","BLUEDART.NS","12594","8473.2","India"
"109","Piramal Enterprises","PEL.NS","12220","1079.8","India"
"110","PB Fintech","POLICYBZR.NS","11694","1639.05","India"
"111","Tata Elxsi","TATAELXSI.NS","11639","7675.15","India"
"112","DMart","DMART.NS","11312","4572.7","India"
"113","Motilal Oswal Financial Services","MOTILALOFS.NS","11300","808.55","India"
"114","NLC India","NLCINDIA.NS","11246","266.1","India"
"115","Zensar","ZENSARTECH.NS","11051","694.95","India"
"116","Religare","RELIGARE.NS","11000","275","India"
"117","Varun Beverages","VBL.NS","9973","592.35","India"
"118","Amara Raja Batteries","ARE&M.NS","9911","1406.9","India"
"119","UNO Minda","UNOMINDA.NS","9881","985.75","India"
"120","Spandana Sphoorty Financial","SPANDANA.NS","9674","538.15","India"
"121","Ashok Leyland","ASHOKLEY.NS","9603","227.86","India"
"122","Prime Focus","PFOCUS.NS","9500","150.84","India"
"123","Asian Paints","ASIANPAINT.NS","9482","3037.2","India"
"124","Vodafone Idea","IDEA.NS","9370","9.18","India"
"125","South Indian Bank","SOUTHBANK.NS","9219","23.86","India"
"126","Hero MotoCorp","HEROMOTOCO.NS","9173","5476.3","India"
