"Rank","Name","Symbol","operating_margin_ttm","price (INR)","country"
"86","Indus Towers","INDUSTOWER.NS","3080","378.5","India"
"87","Tata Elxsi","TATAELXSI.NS","2959","7675.15","India"
"88","HDFC Bank","HDB","2913","5089.5978","India"
"89","Indian Hotels Company","INDHOTEL.NS","2903","708.55","India"
"90","Abbott India","ABBOTINDIA.NS","2828","28808.2","India"
"91","Oil India","OIL.NS","2822","584.55","India"
"92","Neuland Laboratories","NEULANDLAB.NS","2814","14247.6","India"
"93","State Bank of India","SBIN.NS","2803","799.75","India"
"94","Divis Laboratories","DIVISLAB.NS","2796","6142.25","India"
"95","Embassy Office Parks REIT","EMBASSY.BO","2795","387.76","India"
"96","Multi Commodity Exchange","MCX.NS","2784","6410.55","India"
"97","CRISIL","CRISIL.NS","2767","4711.85","India"
"98","AU Small Finance Bank","AUBANK.NS","2759","690.4","India"
"99","Indian Bank","INDIANB.NS","2756","524.55","India"
"100","Nucleus Software Exports","NUCLEUS.NS","2756","1299.6","India"
"101","Kaveri Seed","KSCL.NS","2744","935.65","India"
"102","Finolex Industries","FINPIPE.NS","2743","299.45","India"
"103","Hindustan Copper","HINDCOPPER.NS","2732","315.85","India"
"104","Zydus Lifesciences","ZYDUSLIFE.NS","2716","1064.4","India"
"105","Bharat Electronics","BEL.NS","2667","285.9","India"
"106","Accelya","ACCELYA.NS","2665","1767.85","India"
"107","Sanofi India Limited","SANOFI.NS","2647","6915.1","India"
"108","MPS Limited","MPSLTD.NS","2641","2092.3","India"
"109","PI Industries","PIIND.NS","2637","4523.6","India"
"110","Cummins India","CUMMINSIND.NS","2622","3614.15","India"
"111","RITES","RITES.NS","2620","313.6","India"
"112","Fine Organics","FINEORG.NS","2606","5080.5","India"
"113","Tata Consultancy Services","TCS.NS","2605","4149.2","India"
"114","EaseMyTrip","EASEMYTRIP.NS","2590","34.19","India"
"115","Torrent Pharmaceuticals","TORNTPHARM.NS","2587","3497.05","India"
"116","Bandhan Bank","BANDHANBNK.NS","2587","210.26","India"
"117","eMudhra","EMUDHRA.NS","2577","952.5","India"
"118","Ingersoll Rand India","INGERRAND.NS","2572","4434.75","India"
"119","Voltamp Transformers","VOLTAMP.NS","2523","13599","India"
"120","Dr. Reddy's","RDY","2518","6578.4775","India"
"121","Mahanagar Gas","MGL.NS","2511","1834","India"
"122","Godawari Power &amp; Ispat","GPIL.NS","2493","190.9","India"
"123","Sun Pharmaceutical","SUNPHARMA.NS","2480","1901.95","India"
"124","Dr Lal PathLabs","LALPATHLAB.NS","2470","3505.95","India"
"125","SBI Card","SBICARD.NS","2443","733.75","India"
"126","Max Healthcare Institute","MAXHEALTH.NS","2441","939.8","India"
"127","MOIL","MOIL.NS","2433","382.75","India"
"128","Biocon","BIOCON.NS","2431","346.15","India"
"129","GMR Group","GMRINFRA.NS","2425","88.42","India"
"130","Union Bank of India","UNIONBANK.NS","2424","114.12","India"
"131","Infosys","INFY","2418","1927.7251","India"
"132","Anant Raj","ANANTRAJ.NS","2404","750.2","India"
"133","eClerx Services","ECLERX.NS","2388","3090.55","India"
"134","Punjab &amp; Sind Bank","PSB.NS","2387","52.16","India"
"135","National Aluminum &amp; Alloy","NATIONALUM.NS","2386","222.92","India"
"136","Solar Industries India","SOLARINDS.NS","2380","11318.4","India"
"137","NLC India","NLCINDIA.NS","2366","266.1","India"
"138","Kewal Kiran Clothing","KKCL.NS","2355","666.25","India"
"139","Wendt India","WENDT.NS","2354","14724.2","India"
"140","Mahindra Lifespaces","MAHLIFE.NS","2349","508.15","India"
"141","Hindustan Unilever","HINDUNILVR.NS","2345","2783.2","India"
"142","Cipla","CIPLA.NS","2329","1595.75","India"
"143","Mankind Pharma","MANKIND.NS","2324","2792.55","India"
"144","Castrol India","CASTROLIND.NS","2309","227.82","India"
"145","Procter &amp; Gamble India","PGHH.NS","2304","16634.9","India"
"146","Bajaj Auto","BAJAJ-AUTO.NS","2300","11877","India"
"147","Metro Brands","METROBRAND.NS","2290","1225.6","India"
"148","BLS International","BLS.NS","2275","362.7","India"
"149","Huhtamaki India","HUHTAMAKI.NS","2273","400.2","India"
"150","Puravankara","PURVA.NS","2272","394.45","India"
"151","Knr Constructions","KNRCON.NS","2245","318.4","India"
"152","Emami","EMAMILTD.NS","2240","730.25","India"
"153","Nestlé India","NESTLEIND.NS","2232","2511.8","India"
"154","Happiest Minds Technologies","HAPPSTMNDS.NS","2217","800.75","India"
"155","Linde India","LINDEINDIA.NS","2209","8147.75","India"
"156","Anup Engineering","ANUP.NS","2192","2735.15","India"
"157","NTPC Limited","NTPC.NS","2183","422.5","India"
"158","Balkrishna Industries","BALKRISIND.NS","2181","3023.4","India"
"159","Vedanta","VEDL.NS","2139","497.5","India"
"160","Lodha Group","LODHA.NS","2138","1169.85","India"
"161","RPG Life Sciences","RPGLIFE.NS","2084","2806.9","India"
"162","FDC India","FDC.NS","2066","536.2","India"
"163","Adani Total Gas","ATGL.NS","2043","757.35","India"
"164","Marico","MARICO.NS","2027","685.5","India"
"165","Sumitomo Chemical
 India","SUMICHEM.NS","2026","545.1","India"
"166","Marksans Pharma","MARKSANS.NS","2025","289.15","India"
"167","Dabur","DABUR.NS","2024","570.85","India"
"168","Pidilite","PIDILITIND.NS","2010","3110.2","India"
"169","Indian Metals &amp; Ferro Alloys","IMFA.NS","2008","706.75","India"
"170","Bharti Hexacom","BHARTIHEXA.NS","1985","1445.4","India"
"171","Aether Industries","AETHER.NS","1981","948.5","India"
"172","BOSCH India","BOSCHLTD.NS","1978","38486.8","India"
"173","West Coast Paper Mills","WSTCSTPAPR.NS","1973","611.25","India"
"174","Container Corporation of India","CONCOR.NS","1970","893.9","India"
"175","HCL Technologies","HCLTECH.NS","1968","1839.65","India"
"176","Sasken Technologies","SASKEN.NS","1966","1706.8","India"
"177","Vesuvius India","VESUVIUS.NS","1962","5345.35","India"
"178","3M India","3MINDIA.NS","1957","33995","India"
"179","Asian Paints","ASIANPAINT.NS","1945","3037.2","India"
"180","Gateway Distriparks","GATEWAY.NS","1938","87.79","India"
"181","Finolex Cables","FINCABLES.NS","1931","1298.15","India"
"182","Syngene International","SYNGENE.NS","1926","879.9","India"
"183","Shriram Pistons &amp; Rings","SHRIPISTON.NS","1916","2210.3","India"
"184","Adani Green Energy","ADANIGREEN.NS","1908","1792.2","India"
"185","Alkem Laboratories","ALKEM.NS","1907","6191.3","India"
"186","ABB India","ABB.NS","1907","8553.7","India"
"187","Gland Pharma","GLAND.NS","1905","1698.55","India"
"188","Symphony Limited","SYMPHONY.NS","1901","1824.7","India"
"189","Astra Microwave","ASTRAMICRO.NS","1897","860.1","India"
"190","L&amp;T Technology Services","LTTS.NS","1893","5234.2","India"
"191","Grindwell Norton","GRINDWELL.NS","1889","2416.5","India"
"192","Bombay Burmah","BBTC.NS","1886","2643.85","India"
"193","Global Health Limited (Medanta)","MEDANTA.NS","1872","1024.7","India"
"194","Britannia Industries","BRITANNIA.NS","1861","5978.5","India"
"195","India Tourism Development Corp","ITDC.NS","1855","658.1","India"
"196","Varun Beverages","VBL.NS","1834","592.35","India"
"197","Wipro","WIT","1831","535.5259","India"
"198","Kalyani Steels","KSL.NS","1825","834.35","India"
"199","Adani Energy Solutions","ADANIENSOL.NS","1815","976.8","India"
"200","Foseco India","FOSECOIND.NS","1805","4706","India"
"201","Kuantum Papers","KUANTUM.NS","1801","137.7","India"
"202","Ambuja Cements","AMBUJACEM.NS","1800","585.2","India"
"203","Timken India","TIMKEN.NS","1793","3733.3","India"
"204","Indian Overseas Bank","IOB.NS","1789","54.29","India"
"205","Narayana Hrudayalaya","NH.NS","1783","1221.2","India"
"206","Bayer Crop Science","BAYERCROP.NS","1779","6713.85","India"
"207","Aurobindo Pharma","AUROPHARMA.NS","1775","1495.85","India"
"208","HBL Power Systems","HBLPOWER.NS","1775","604.7","India"
"209","Honeywell Automation India","HONAUT.NS","1772","50303.6","India"
"210","Page Industries","PAGEIND.NS","1769","45370.2","India"
"211","Indraprastha Gas","IGL.NS","1769","540.55","India"
"212","Zensar","ZENSARTECH.NS","1763","694.95","India"
"213","ESAB India","ESABINDIA.NS","1757","6151.75","India"
