"Rank","Name","Symbol","operating_margin_ttm","price (INR)","country"
"430","Apollo Pipes","APOLLOPIPE.NS","668","568.5","India"
"431","Glenmark Pharmaceuticals","GLENMARK.NS","667","1790.65","India"
"432","Tech Mahindra","TECHM.NS","662","1647.05","India"
"433","India Glycols","INDIAGLYCO.NS","662","1470.5","India"
"434","Excel Industries","EXCELINDUS.NS","661","1626.6","India"
"435","Oriental Aromatics","OAL.NS","656","509.2","India"
"436","JSW Steel","JSWSTEEL.NS","651","1012.05","India"
"437","Surya Roshni","SURYAROSNI.NS","651","722.15","India"
"438","Varroc","VARROC.NS","647","575.7","India"
"439","Mangalore Chemicals and Fertilizers","MANGCHEFER.NS","634","140.04","India"
"440","JTEKT India","JTEKTINDIA.NS","631","175.94","India"
"441","BASF India","BASF.NS","629","8168.25","India"
"442","Lumax Industries","LUMAXIND.NS","615","2466.9","India"
"443","Vaibhav Global","VAIBHAVGBL.NS","607","300.65","India"
"444","Indoco Remedies","INDOCO.NS","606","337.3","India"
"445","VRL Logistics","VRLLOG.NS","605","575.35","India"
"446","Whirlpool India","WHIRLPOOL.NS","599","2367.15","India"
"447","Devyani International","DEVYANI.NS","590","182.01","India"
"448","Kalyan Jewellers India","KALYANKJIL.NS","584","720.3","India"
"449","Milkfood Limited","MLKFOOD.BO","580","137.25","India"
"450","Bharat Petroleum","BPCL.NS","579","337.65","India"
"451","Arvind","ARVIND.NS","571","360.2","India"
"452","NBCC India","NBCC.NS","568","114.06","India"
"453","Subros","SUBROS.NS","567","680","India"
"454","KEC International","KEC.NS","566","998.7","India"
"455","Voltas","VOLTAS.NS","565","1789.45","India"
"456","Indian Oil","IOC.NS","555","163.15","India"
"457","Texmaco Rail &amp; Engineering","TEXRAIL.NS","548","196.37","India"
"458","Parag Milk Foods","PARAGMILK.NS","544","227.29","India"
"459","Amber Enterprises India","AMBER.NS","542","5019.85","India"
"460","APL Apollo","APLAPOLLO.NS","541","1571.7","India"
"461","Syrma SGS Technology","SYRMA.NS","533","416.85","India"
"462","Tata Chemicals","TATACHEM.NS","531","1183.1","India"
"463","Chennai Petroleum","CHENNPETRO.NS","529","909","India"
"464","Hinduja Global Solutions","HGS.NS","522","788","India"
"465","Hitachi Energy India","POWERINDIA.NS","519","15899.2","India"
"466","Rico Auto Industries","RICOAUTO.NS","517","107.91","India"
"467","Hatsun Agro Products","HATSUN.NS","516","1145.25","India"
"468","Black Box","BBOX.NS","511","484.35","India"
"469","Samvardhana Motherson","MOTHERSON.NS","504","212.82","India"
"470","NCC Limited","NCC.NS","503","298.45","India"
"471","JBM Auto","JBMA.NS","485","1774.55","India"
"472","Life Insurance Corporation of India (LIC)","LICI.NS","482","948.85","India"
"473","Barbeque Nation Hospitality","BARBEQUE.NS","479","681.1","India"
"474","Patanjali Foods","PATANJALI.NS","476","1743.5","India"
"475","Confidence Petroleum","CONFIPET.NS","456","81.39","India"
"476","Nilkamal","NILKAMAL.NS","455","1936.25","India"
"477","Godrej","GODREJCP.NS","450","1315.7","India"
"478","Zomato","ZOMATO.NS","448","277.55","India"
"479","Jindal Poly Films","JINDALPOLY.NS","445","817.55","India"
"480","Igarashi Motors India","IGARASHI.NS","439","638.35","India"
"481","Balaji Telefilms","BALAJITELE.NS","437","63.26","India"
"482","Sandhar","SANDHAR.NS","437","574.45","India"
"483","Mirza International","MIRZAINT.NS","427","42.73","India"
"484","Laurus Labs","LAURUSLABS.NS","427","474.15","India"
"485","PB Fintech","POLICYBZR.NS","421","1639.05","India"
"486","PTC India","PTC.NS","411","197.38","India"
"487","The Tinplate Company Of India","TINPLATE.NS","406","430.5","India"
"488","Filatex India","FILATEX.NS","398","57.86","India"
"489","I.g. Petrochemicals","IGPL.NS","395","586.2","India"
"490","Skipper Limited","SKIPPER.NS","388","548.1","India"
"491","Orient Electric","ORIENTELEC.NS","381","236.46","India"
"492","GTPL Hathway","GTPL.NS","380","161.74","India"
"493","Polyplex","POLYPLEX.NS","372","1169.65","India"
"494","Steel Authority of India","SAIL.NS","368","134.03","India"
"495","Hindustan Petroleum","HINDPETRO.NS","342","395.5","India"
"496","PDS Multinational","PDSL.NS","340","520.3","India"
"497","Bajaj Electricals","BAJAJELEC.NS","339","900.9","India"
"498","SpiceJet","SPICEJET.BO","339","67.29","India"
"499","Dixon Technologies","DIXON.NS","320","15143.6","India"
"500","New India Assurance","NIACL.NS","310","209.68","India"
"501","Avalon Technologies","AVALON.NS","307","626.55","India"
"502","Tata Steel","TATASTEEL.NS","306","160.66","India"
"503","Sify","SIFY","305","284.1566","India"
"504","IFB Industries","IFBIND.NS","268","1799.5","India"
"505","Rane Holdings","RANEHOLDIN.NS","265","1989.7","India"
"506","Adani Wilmar","AWL.NS","263","337.45","India"
"507","Apex Frozen Foods","APEX.NS","255","244.23","India"
"508","VIP Industries","VIPIND.NS","253","547.45","India"
"509","Rashtriya Chemicals and Fertilizers","RCF.NS","253","179.82","India"
"510","Nykaa","NYKAA.NS","248","192.01","India"
"511","Shankara Building","SHANKARA.NS","213","516.1","India"
"512","Redington India","REDINGTON.NS","210","184.3","India"
"513","Jay Bharat Maruti","JAYBARMARU.NS","209","98.07","India"
"514","Wheels India","WHEELS.NS","193","743.55","India"
"515","Sterlite Technologies","STLTECH.NS","184","120.66","India"
"516","Quess","QUESS.NS","180","727.1","India"
"517","HDFC Life","HDFCLIFE.NS","164","723.85","India"
"518","sterling &amp; wilson solar","SWSOLAR.NS","152","566.4","India"
"519","SBI Life Insurance","SBILIFE.NS","150","1735.05","India"
"520","National Fertilizers","NFL.NS","136","121.76","India"
"521","GE Power India","GEPIL.NS","109","404.05","India"
"522","Allcargo Logistics","ALLCARGO.NS","108","61.4","India"
"523","ICICI Prulife","ICICIPRULI.NS","106","742.55","India"
"524","Max Financial Services","MFSL.NS","97","1185.55","India"
"525","Sequent Scientific","SEQUENT.NS","91","192.72","India"
"526","Asian Granito India","ASIANTILES.NS","75","78.95","India"
"527","Hyderabad Industries Limited","HIL.NS","74","2848","India"
"528","Mahindra Logistics","MAHLOG.NS","71","500.75","India"
"529","Gati","GATI.NS","33","137.05","India"
"530","JCI Hitachi India","JCHAC.NS","17","2560.85","India"
"531","Rajesh Exports","RAJESHEXPO.NS","9","291.45","India"
"532","Ebixcash India","EBIXFOREX.NS","0","614.5517","India"
"533","Jump Networks","JUMPNET.NS","0","10.0884","India"
"534","RattanIndia Power","RTNPOWER.NS","0","16.44","India"
"535","Rural Electrification Corp","RECLTD.NS","0","537.9","India"
"536","Gallantt Ispat","GALLISPAT.NS","0","64.9","India"
"537","IDFC","IDFC.NS","0","108.78","India"
"538","Indian Energy Exchange","IEX.NS","0","204.59","India"
"539","Hindustan Sanitaryware &amp; Industries","HSIL.NS","0","316.9439","India"
"540","Bodal Chemicals","BODALCHEM.NS","0","82.91","India"
"541","Reliance Power","RPOWER.NS","-73","44.23","India"
"542","Delhivery","DELHIVERY.NS","-118","411.15","India"
"543","Orient Paper Mills","ORIENTPPR.NS","-176","46.82","India"
"544","Hindustan Media Ventures","HMVL.NS","-247","94.1","India"
"545","Borosil","BORORENEW.NS","-248","461.9","India"
"546","KIOCL","KIOCL.NS","-257","372.2","India"
"547","PVR INOX","PVRINOX.NS","-290","1620.5","India"
"548","NACL Industries","NACLIND.NS","-306","53.14","India"
"549","Navkar Corp","NAVKARCORP.NS","-312","125.42","India"
"550","Spencer's Retail","SPENCERS.NS","-381","99.79","India"
"551","Indorama Synthetics","INDORAMA.NS","-413","47.46","India"
"552","Azure Power","AZREF","-421","25.221","India"
"553","Alok Industries","ALOKINDS.NS","-455","25.25","India"
"554","UPL","UPL.NS","-580","583.05","India"
"555","Aditya Birla Fashion and Retail","ABFRL.NS","-616","340.25","India"
"556","Rain Industries","RAIN.NS","-645","172.98","India"
"557","Network18","NETWORK18.NS","-663","81.36","India"
"558","Dish TV","DISHTV.NS","-719","14.25","India"
"559","Gujarat Alkalies and Chemicals","GUJALKALI.NS","-758","875.3","India"
"560","Yatra","YTRA","-765","142.919","India"
"561","Piramal Enterprises","PEL.NS","-871","1079.8","India"
"562","Vodafone Idea","IDEA.NS","-1021","9.18","India"
"563","Jaypee Group","JPASSOCIAT.NS","-1032","8.55","India"
"564","Reliance Communications","RCOM.NS","-1076","2.58","India"
"565","Hinduja Ventures","NXTDIGITAL.NS","-1100","117","India"
"566","Prime Focus","PFOCUS.NS","-1855","150.84","India"
"567","Tata Steel Long Products","TATASTLLP.NS","-1883","829.35","India"
"568","Indian Telephone Industries","ITI.NS","-1951","248.25","India"
"569","Paytm","PAYTM.NS","-2051","724.5","India"
"570","Astec Lifesciences","ASTEC.NS","-2921","1093.2","India"
"571","Omaxe","OMAXE.NS","-3057","129.26","India"
"572","3i Infotech","3IINFOLTD.NS","-3329","30.33","India"
"573","Future Retail","FRETAIL.NS","-3442","2.28","India"
"574","TCNS Clothing","TCNSBRANDS.NS","-3528","583.3","India"
"575","Coffee Day Enterprises","COFFEEDAY.NS","-3530","36.14","India"
"576","Sanghi Industries","SANGHIIND.NS","-3969","83.11","India"
"577","Ola Electric Mobility","OLAELEC.NS","-5245","90.2","India"
"578","GTL Infrastructure","GTLINFRA.NS","-5777","2.36","India"
"579","Tata Teleservices","TTML.NS","-10348","81.9","India"
"580","MMTC","MMTC.NS","-10785","85.06","India"
"581","Future Supply Chain Solutions","FSC.NS","-11232","2.12","India"
"582","Unitech Group","UNITECH.NS","-30548","11.18","India"
"583","Mahanagar Telephone Nigam","MTNL.NS","-33262","50.94","India"
"584","SPARC","SPARC.NS","-56571","213.18","India"
"585","MEP Infrastructure","MEP.NS","-61255","4.26","India"
"586","Srei Infrastructure Finance","SREINFRA.NS","-76493","2.1","India"
