"Rank","Name","Symbol","pe_ratio_ttm","price (INR)","country"
"404","Blue Star","BLUESTARCO.NS","87.1658","2019.3","India"
"405","Metro Brands","METROBRAND.NS","88.8335","1225.6","India"
"406","TVS Motor","TVSMOTOR.NS","89.3786","2794.35","India"
"407","MapmyIndia","MAPMYINDIA.NS","90.1393","2135.15","India"
"408","Texmaco Rail &amp; Engineering","TEXRAIL.NS","90.5534","196.37","India"
"409","Astral Poly Technik","ASTRAL.NS","90.9212","1897.45","India"
"410","Indian Hotels Company","INDHOTEL.NS","91.1377","708.55","India"
"411","DLF","DLF.NS","91.8327","846.6","India"
"412","SBI Life Insurance","SBILIFE.NS","92.3953","1735.05","India"
"413","BEML","BEML.NS","93.6121","3791.8","India"
"414","Titan Company","TITAN.NS","93.6458","3474.4","India"
"415","Chalet Hotels","CHALET.NS","93.7217","890","India"
"416","Page Industries","PAGEIND.NS","94.5446","45370.2","India"
"417","Dr Lal PathLabs","LALPATHLAB.NS","94.8598","3505.95","India"
"418","Biocon","BIOCON.NS","95.9024","346.15","India"
"419","BSE","BSE.NS","97.4621","4496.45","India"
"420","KPIT Technologies","KPITTECH.NS","97.5613","1789.05","India"
"421","Tata Investment Corporation","TATAINVEST.NS","97.6742","7048.3","India"
"422","Honeywell Automation India","HONAUT.NS","98.8416","50303.6","India"
"423","Relaxo Footwear","RELAXO.NS","100.176","796.9","India"
"424","Havells India","HAVELLS.NS","101.152","1938.5","India"
"425","Nelco","NELCO.NS","101.717","1002.25","India"
"426","Lupin Limited","LUPIN.NS","101.745","2224.5","India"
"427","Hindustan Copper","HINDCOPPER.NS","104.392","315.85","India"
"428","Ethos Watches","ETHOSLTD.NS","105.136","3092.85","India"
"429","Amber Enterprises India","AMBER.NS","105.358","5019.85","India"
"430","Devyani International","DEVYANI.NS","105.89","182.01","India"
"431","HDFC Life","HDFCLIFE.NS","106.321","723.85","India"
"432","Divis Laboratories","DIVISLAB.NS","107.696","6142.25","India"
"433","eMudhra","EMUDHRA.NS","107.925","952.5","India"
"434","BASF India","BASF.NS","107.995","8168.25","India"
"435","Hatsun Agro Products","HATSUN.NS","108.987","1145.25","India"
"436","Ashiana Housing","ASHIANA.NS","109.758","308.25","India"
"437","Symphony Limited","SYMPHONY.NS","110.026","1824.7","India"
"438","Skipper Limited","SKIPPER.NS","110.959","548.1","India"
"439","Pidilite","PIDILITIND.NS","111.27","3110.2","India"
"440","Bharat Forge","BHARATFORG.NS","115.416","1492.35","India"
"441","ICICI Prulife","ICICIPRULI.NS","115.704","742.55","India"
"442","Anant Raj","ANANTRAJ.NS","115.985","750.2","India"
"443","CG Power and Industrial Solutions","CGPOWER.NS","116.904","858.15","India"
"444","Sify","SIFY","119.269","284.1566","India"
"445","Kitex Garments","KITEX.NS","119.523","522.45","India"
"446","Kalyan Jewellers India","KALYANKJIL.NS","120.277","720.3","India"
"447","Godrej Properties","GODREJPROP.NS","123.319","3014.25","India"
"448","Radico Khaitan","RADICO.NS","123.904","2150.7","India"
"449","Bharti Airtel","BHARTIARTL.NS","124.105","1687.4","India"
"450","DMart","DMART.NS","125.02","4572.7","India"
"451","Solar Industries India","SOLARINDS.NS","125.232","11318.4","India"
"452","Nazara Technologies","NAZARA.NS","125.428","923.4","India"
"453","Thermax","THERMAX.NS","126.005","5155.25","India"
"454","HBL Power Systems","HBLPOWER.NS","126.389","604.7","India"
"455","PVR INOX","PVRINOX.NS","128.101","1620.5","India"
"456","Bharti Hexacom","BHARTIHEXA.NS","128.55","1445.4","India"
"457","Astra Microwave","ASTRAMICRO.NS","131.521","860.1","India"
"458","Siemens India","SIEMENS.NS","131.892","7749.9","India"
"459","KEC International","KEC.NS","133.999","998.7","India"
"460","Whirlpool India","WHIRLPOOL.NS","140.796","2367.15","India"
"461","Adani Total Gas","ATGL.NS","143.048","757.35","India"
"462","Adani Enterprises","ADANIENT.NS","143.325","3137.2","India"
"463","JBM Auto","JBMA.NS","143.525","1774.55","India"
"464","Apollo Hospitals","APOLLOHOSP.NS","146.59","6983.4","India"
"465","Schneider Electric Infrastructure","SCHNEIDER.NS","152.304","860.45","India"
"466","Linde India","LINDEINDIA.NS","156.053","8147.75","India"
"467","ABB India","ABB.NS","169.796","8553.7","India"
"468","Jubilant FoodWorks","JUBLFOOD.NS","174.064","629.7","India"
"469","Igarashi Motors India","IGARASHI.NS","180.863","638.35","India"
"470","Suzlon","SUZLON.NS","186.811","74.39","India"
"471","Borosil","BORORENEW.NS","187.952","461.9","India"
"472","Glenmark Pharmaceuticals","GLENMARK.NS","194.017","1790.65","India"
"473","Olectra Greentech","OLECTRA.NS","209.912","1752.1","India"
"474","United Breweries","UBL.NS","215.259","2085.95","India"
"475","Black Box","BBOX.NS","248.192","484.35","India"
"476","Adani Green Energy","ADANIGREEN.NS","274.523","1792.2","India"
"477","Voltas","VOLTAS.NS","289.184","1789.45","India"
"478","VA Tech Wabag","WABAG.NS","301.649","1562.45","India"
"479","Oriental Aromatics","OAL.NS","315.852","509.2","India"
"480","Dixon Technologies","DIXON.NS","317.502","15143.6","India"
"481","Adani Wilmar","AWL.NS","334.434","337.45","India"
"482","MakeMyTrip","MMYT","418.983","8490.2293","India"
"483","IFB Industries","IFBIND.NS","514.384","1799.5","India"
"484","Trent Limited","TRENT.NS","587.004","8234.95","India"
"485","Puravankara","PURVA.NS","651.977","394.45","India"
"486","Mangalam Cement","MANGLMCEM.NS","660.614","862.3","India"
"487","Mahindra Lifespaces","MAHLIFE.NS","733.49","508.15","India"
"488","Hitachi Energy India","POWERINDIA.NS","1217.1","15899.2","India"
"489","Nykaa","NYKAA.NS","2504.8","192.01","India"
"490","Jio Financial Services","JIOFIN.NS","6782.43","341.5","India"
"491","GTL Infrastructure","GTLINFRA.NS","-1.8024","2.36","India"
"492","JCI Hitachi India","JCHAC.NS","-54.9859","2560.85","India"
"493","PB Fintech","POLICYBZR.NS","-241.423","1639.05","India"
"494","Unitech Group","UNITECH.NS","-1.06774","11.18","India"
"495","Paytm","PAYTM.NS","-37.4504","724.5","India"
"496","Exide Industries","EXIDEIND.NS","52.9888","530.5","India"
"497","Nectar Lifesciences","NECLIFE.NS","-32.5167","39.09","India"
"498","Alok Industries","ALOKINDS.NS","-12.9668","25.25","India"
"499","Piramal Pharma","PPLPHARMA.NS","-196.973","221.3","India"
"500","Ambuja Cements","AMBUJACEM.NS","44.2337","585.2","India"
"501","Hindustan Media Ventures","HMVL.NS","-63.0379","94.1","India"
"502","Varroc","VARROC.NS","-12.119","575.7","India"
"503","KIOCL","KIOCL.NS","-196.679","372.2","India"
"504","Prakash Industries","PRAKASH.NS","15.4003","169.26","India"
"505","Hinduja Ventures","NXTDIGITAL.NS","-2.80953","117","India"
"506","Indorama Synthetics","INDORAMA.NS","-10.2788","47.46","India"
"507","Ebixcash India","EBIXFOREX.NS","0","614.5517","India"
"508","HDFC Bank","HDB","20.4516","5089.5978","India"
"509","3i Infotech","3IINFOLTD.NS","379.54","30.33","India"
"510","Zomato","ZOMATO.NS","-286.39","277.55","India"
"511","GMR Group","GMRINFRA.NS","-141.406","88.42","India"
"512","Omaxe","OMAXE.NS","-5.70264","129.26","India"
"513","Kellton Tech Solutions","KELLTONTEC.NS","-10.3979","146.99","India"
"514","Jump Networks","JUMPNET.NS","0","10.0884","India"
"515","Gallantt Ispat","GALLISPAT.NS","0","64.9","India"
"516","Oberoi Realty","OBEROIRLTY.NS","47.2191","1919.15","India"
"517","Mahanagar Telephone Nigam","MTNL.NS","-1.007","50.94","India"
"518","Gati","GATI.NS","-114.38","137.05","India"
"519","GE Power India","GEPIL.NS","-5.13005","404.05","India"
"520","ACC","ACC.NS","42.4854","2312.45","India"
"521","Kalpataru Power Transmission","KALPATPOWR.NS","13.2136","522.85","India"
"522","Network18","NETWORK18.NS","-57.8906","81.36","India"
"523","Future Supply Chain Solutions","FSC.NS","-0.0122577","2.12","India"
"524","Zee Entertainment","ZEEL.NS","-109.307","130.15","India"
"525","Foseco India","FOSECOIND.NS","61.9457","4706","India"
"526","Jubilant Pharmova","JUBLPHARMA.NS","-396.194","1146.35","India"
"527","Aditya Birla Fashion and Retail","ABFRL.NS","-83.3827","340.25","India"
"528","Future Retail","FRETAIL.NS","-0.0246879","2.28","India"
"529","Mahindra Logistics","MAHLOG.NS","-148.37","500.75","India"
"530","Zee Learn","ZEELEARN.NS","-0.814644","11.1","India"
"531","Jindal Stainless (Hisar)","JSLHISAR.NS","8.86973","570","India"
"532","Vodafone Idea","IDEA.NS","-1.25055","9.18","India"
"533","Ola Electric Mobility","OLAELEC.NS","-45.7778","90.2","India"
"534","Yatra","YTRA","-28.3438","142.919","India"
"535","Mankind Pharma","MANKIND.NS","70.4569","2792.55","India"
"536","Reliance Communications","RCOM.NS","-0.0528459","2.58","India"
"537","Cigniti Technologies","CIGNITITEC.NS","21.9611","1390.45","India"
"538","Barbeque Nation Hospitality","BARBEQUE.NS","-1040.02","681.1","India"
"539","Bank of India","BANKINDIA.NS","10.9517","105.53","India"
"540","Lodha Group","LODHA.NS","-199.791","1169.85","India"
"541","sterling &amp; wilson solar","SWSOLAR.NS","-15.738","566.4","India"
"542","Balaji Telefilms","BALAJITELE.NS","-244.738","63.26","India"
"543","Strides Pharma","STAR.NS","-60.9433","1559.45","India"
"544","Coffee Day Enterprises","COFFEEDAY.NS","-2.19716","36.14","India"
"545","Azure Power","AZREF","-0.353255","25.221","India"
"546","RattanIndia Power","RTNPOWER.NS","-4.25924","16.44","India"
"547","Srei Infrastructure Finance","SREINFRA.NS","-0.0109699","2.1","India"
"548","SpiceJet","SPICEJET.BO","-2.93497","67.29","India"
"549","Sequent Scientific","SEQUENT.NS","-33.1527","192.72","India"
"550","Bombay Burmah","BBTC.NS","-10.7637","2643.85","India"
"551","Sanghi Industries","SANGHIIND.NS","-4.37196","83.11","India"
"552","Castrol India","CASTROLIND.NS","0","227.82","India"
"553","Century Textiles and Industries","CENTURYTEX.NS","0","2718.95","India"
"554","ReNew Power","RNW","-73.6427","496.8537","India"
"555","MEP Infrastructure","MEP.NS","-0.378068","4.26","India"
"556","Reliance Power","RPOWER.NS","-33.4582","44.23","India"
"557","SPARC","SPARC.NS","-26.7919","213.18","India"
"558","Spencer's Retail","SPENCERS.NS","-3.64781","99.79","India"
"559","Reliance Infrastructure","RELINFRA.NS","-2.16085","284.65","India"
"560","INEOS Styrolution","INEOSSTYRO.NS","7.30866","807.8","India"
"561","Avalon Technologies","AVALON.NS","54.1493","626.55","India"
"562","Asian Granito India","ASIANTILES.NS","-13.0103","78.95","India"
"563","Radio City","RADIOCITY.NS","150.103","15.73","India"
"564","Quick Heal","QUICKHEAL.NS","-278.739","811.7","India"
"565","Tata Motors","TATAMOTORS.NS","463.183","930.7","India"
"566","Tata Steel","TATASTEEL.NS","-31.9744","160.66","India"
"567","Tata Steel Long Products","TATASTLLP.NS","-1.90725","829.35","India"
"568","Tata Teleservices","TTML.NS","-13.4435","81.9","India"
"569","Jaypee Group","JPASSOCIAT.NS","-1.78441","8.55","India"
"570","TCNS Clothing","TCNSBRANDS.NS","-18.1407","583.3","India"
"571","Dish TV","DISHTV.NS","-1.5911","14.25","India"
"572","Tejas Networks","TEJASNET.NS","-385.064","1189.5","India"
"573","Indian Telephone Industries","ITI.NS","-63.2999","248.25","India"
"574","Delhivery","DELHIVERY.NS","-42.4768","411.15","India"
"575","Info Edge","NAUKRI.NS","-832.452","8363.3","India"
"576","Sunteck Realty","SUNTECK.NS","-164.764","556.25","India"
"577","Multi Commodity Exchange","MCX.NS","211.387","6410.55","India"
"578","Inox Wind","INOXWIND.NS","-12.8852","218.61","India"
"579","Mirza International","MIRZAINT.NS","20.5474","42.73","India"
"580","Hyderabad Industries Limited","HIL.NS","20.8221","2848","India"
"581","Hindustan Sanitaryware &amp; Industries","HSIL.NS","0","316.9439","India"
"582","Rajesh Exports","RAJESHEXPO.NS","6.8496","291.45","India"
"583","Syrma SGS Technology","SYRMA.NS","67.7923","416.85","India"
"584","Tamil Nadu Newsprint and Papers Limited","TNPL.NS","4.24244","206.07","India"
"585","Astec Lifesciences","ASTEC.NS","-81.7235","1093.2","India"
"586","PTC Financial Services","PFS.NS","15","47.96","India"
