"Rank","Name","Symbol","revenue_ttm","price (INR)","country"
"83","Hindustan Aeronautics","HAL.NS","3432193320","4446.15","India"
"84","Adani Ports & SEZ","ADANIPORTS.NS","3291849097","1408.25","India"
"85","Indian Railway Finance","IRFC.NS","3195609892","152.4","India"
"86","Cipla","CIPLA.NS","3097792774","1595.75","India"
"87","Madras Rubber Factory","MRF.NS","3093417210","132198","India"
"88","Apollo Tyres","APOLLOTYRE.NS","3014794902","505.05","India"
"89","National Fertilizers","NFL.NS","2834055211","121.76","India"
"90","IDFC FIRST Bank","IDFCFIRSTB.NS","2826697169","72.37","India"
"91","Reliance Infrastructure","RELINFRA.NS","2792203958","284.65","India"
"92","ICICI Lombard","ICICIGI.NS","2722593449","2067.35","India"
"93","NCC Limited","NCC.NS","2640093697","298.45","India"
"94","Tata Communications","TATACOMM.NS","2620819492","1963.75","India"
"95","Siemens India","SIEMENS.NS","2560841334","7749.9","India"
"96","National Mineral Development Corporation","NMDC.NS","2560137714","233.68","India"
"97","Bharat Electronics","BEL.NS","2526141591","285.9","India"
"98","Dixon Technologies","DIXON.NS","2520972679","15143.6","India"
"99","East India Distilleries Parry","EIDPARRY.NS","2512665493","812.9","India"
"100","Shriram Transport Finance","SHRIRAMFIN.NS","2456592999","3341.2","India"
"101","Lupin Limited","LUPIN.NS","2452557353","2224.5","India"
"102","KEC International","KEC.NS","2422872071","998.7","India"
"103","Shree Cement","SHREECEM.NS","2419220776","24337","India"
"104","Zydus Lifesciences","ZYDUSLIFE.NS","2402653848","1064.4","India"
"105","Kalyan Jewellers India","KALYANKJIL.NS","2356936340","720.3","India"
"106","Apollo Hospitals","APOLLOHOSP.NS","2344723284","6983.4","India"
"107","ACC","ACC.NS","2344286626","2312.45","India"
"108","Quess","QUESS.NS","2341443513","727.1","India"
"109","Havells India","HAVELLS.NS","2334257957","1938.5","India"
"110","Nestlé India","NESTLEIND.NS","2325719228","2511.8","India"
"111","Polycab India","POLYCAB.NS","2217401382","7446.85","India"
"112","Rural Electrification Corp","RECLTD.NS","2200542148","537.9","India"
"113","Central Bank of India","CENTRALBK.NS","2193296450","56.96","India"
"114","Adani Energy Solutions","ADANIENSOL.NS","2169178566","976.8","India"
"115","APL Apollo","APLAPOLLO.NS","2146744550","1571.7","India"
"116","Varun Beverages","VBL.NS","2116296227","592.35","India"
"117","Rashtriya Chemicals and Fertilizers","RCF.NS","2081185886","179.82","India"
"118","Chambal Fertilisers","CHAMBLFERT.NS","2076320400","497.5","India"
"119","Bombay Burmah","BBTC.NS","2046983836","2643.85","India"
"120","Tube Investments of India","TIINDIA.NS","2041056720","4225.65","India"
"121","Exide Industries","EXIDEIND.NS","2024558507","530.5","India"
"122","Kalpataru Power Transmission","KALPATPOWR.NS","2010670054","522.85","India"
"123","Britannia Industries","BRITANNIA.NS","2005774208","5978.5","India"
"124","Eicher Motors","EICHERMOT.NS","1997149424","4728.05","India"
"125","BOSCH India","BOSCHLTD.NS","1985443946","38486.8","India"
"126","Jindal Stainless (Hisar)","JSLHISAR.NS","1970895445","570","India"
"127","IDBI Bank","IDBI.NS","1969923860","83.28","India"
"128","Gujarat Gas","GUJGASLTD.NS","1963924054","600.1","India"
"129","Apar Industries","APARINDS.NS","1955396355","10428.4","India"
"130","PTC India","PTC.NS","1943199103","197.38","India"
"131","Rain Industries","RAIN.NS","1924014878","172.98","India"
"132","Indian Overseas Bank","IOB.NS","1904186163","54.29","India"
"133","Tata Consumer Products","TATACONSUM.NS","1885957553","1113.1","India"
